gene_or_locus,evidence_role,effect_size_status,sentence_count,unique_pmids,earliest_year,latest_year,species_context,direct_perturbation_or_mapping,breeding_context,mechanism_themes,representative_pmids
Bph29,核心抗性基因/位点,未报告/不可由文献频次推断,60,26,2015,2024,BPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,26136269;26979747;27300326;27901104;29373714;30551584;30734457;30888525;31165331;31850073;32040676;34193042
Bph17,核心抗性基因/位点,未报告/不可由文献频次推断,52,25,2016,2024,BPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作,27300326;27876888;27901104;30551584;31367224;31726710;31885402;32937908;34337676;34680617;35087314;35604579
Bph4,核心抗性基因/位点,未报告/不可由文献频次推断,28,24,2011,2025,BPH,yes,yes,遗传定位、克隆与抗源部署;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,21779386;23718009;27300326;27876888;29503500;29644569;30893760;31581452;31726710;31885402;31902971;32704393
Bph25,核心抗性基因/位点,原句含效应量/主微效描述，需回到原文核验,29,22,2011,2024,BPH;WBPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,22048639;25076167;27300326;27876888;29282566;30393420;30739972;31086482;31726710;31885402;32853293;32937908
Bph20,核心抗性基因/位点,未报告/不可由文献频次推断,34,17,2009,2023,BPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,19669727;22048639;26136269;27876888;27901104;29644569;30291462;31726710;31885402;34337676;35270092;35899197
Bph21,核心抗性基因/位点,未报告/不可由文献频次推断,33,16,2009,2024,BPH,yes,yes,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,19669727;22048639;25076167;26136269;27901104;29644569;31726710;31885402;34337676;35270092;37404545;37569437
Bph10,核心抗性基因/位点,未报告/不可由文献频次推断,23,16,2011,2024,BPH,yes,yes,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,22048639;25076167;26690414;27901104;31726710;31885402;34337676;34680617;34821791;35910769;37404545;37569437
Bph30,核心抗性基因/位点,未报告/不可由文献频次推断,24,15,2015,2024,BPH;WBPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,26136269;31726710;31885402;32937908;34246801;35068048;35910769;36952539;37404545;37569437;37615020;37731986
Bph27,核心抗性基因/位点,原句含效应量/主微效描述，需回到原文核验,43,14,2013,2024,BPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;生长防御权衡与农艺环境,23001338;27246014;27901104;28638401;29282566;31165331;31885402;35087314;35719377;35845644;35910769;36675314
Bph7,核心抗性基因/位点,未报告/不可由文献频次推断,18,14,2016,2024,BPH;WBPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,27300326;31726710;31885402;32937908;34821791;35206680;35267056;35323548;37404545;37569437;37615020;37623248
Bph12,核心抗性基因/位点,未报告/不可由文献频次推断,17,11,2012,2023,BPH;SBPH;WBPH,yes,yes,遗传定位、克隆与抗源部署,22038433;26690414;27300326;27901104;30291462;31086482;31726710;31885402;37731986;38069282;38106508
Bph19,核心抗性基因/位点,未报告/不可由文献频次推断,10,8,2006,2024,BPH,yes,yes,遗传定位、克隆与抗源部署;生长防御权衡与农艺环境,16395578;21779386;27300326;27901104;31885402;35910769;38069282;39452319
Bph36,核心抗性基因/位点,原句含效应量/主微效描述，需回到原文核验,28,7,2019,2024,BPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境,31165331;31885402;32937908;35845644;36874914;38069282;38625904
Bph37,核心抗性基因/位点,未报告/不可由文献频次推断,12,7,2019,2023,BPH,not explicit,yes,遗传定位、克隆与抗源部署;宿主免疫、肽信号与昆虫效应子,31297040;31885402;35910769;37404545;37569437;37615020;38069282
Bph34,核心抗性基因/位点,未报告/不可由文献频次推断,12,7,2018,2023,BPH,yes,yes,遗传定位、克隆与抗源部署,29476225;32937908;35087314;35845644;35910769;36675314;38069282
Bph40,核心抗性基因/位点,原句含效应量/主微效描述，需回到原文核验,10,7,2021,2023,BPH,not explicit,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;宿主免疫、肽信号与昆虫效应子,35068048;35087314;37404545;37569437;37615020;38003009;38069282
Bph5,核心抗性基因/位点,未报告/不可由文献频次推断,9,7,2016,2022,BPH;WBPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,27300326;31726710;31885402;32937908;34821791;35206680;35323548
Bph33,核心抗性基因/位点,原句含效应量/主微效描述，需回到原文核验,18,6,2018,2023,BPH,yes,yes,遗传定位、克隆与抗源部署;生长防御权衡与农艺环境,30291462;31885402;32937908;33217583;35899197;38069282
Bph8,核心抗性基因/位点,未报告/不可由文献频次推断,8,6,2016,2023,BPH,not explicit,yes,遗传定位、克隆与抗源部署;生长防御权衡与农艺环境,27300326;31143556;31726710;31885402;32937908;38106508
Bph31,核心抗性基因/位点,未报告/不可由文献频次推断,22,5,2017,2023,BPH,yes,yes,遗传定位、克隆与抗源部署;生长防御权衡与农艺环境,28861736;31885402;35899197;37623248;38069282
Bph45,核心抗性基因/位点,原句含效应量/主微效描述，需回到原文核验,31,4,2023,2024,BPH,yes,yes,遗传定位、克隆与抗源部署;次生代谢与挥发性防御;生长防御权衡与农艺环境,36675314;37373210;38106508;39555011
Bph42,核心抗性基因/位点,原句含效应量/主微效描述，需回到原文核验,20,4,2022,2023,BPH,yes,yes,遗传定位、克隆与抗源部署;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,35764746;36323756;38069282;38078098
Bph38,核心抗性基因/位点,原句含效应量/主微效描述，需回到原文核验,19,4,2019,2023,BPH;WBPH,not explicit,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作,31885402;31915875;37731986;38069282
Bph13,核心抗性基因/位点,未报告/不可由文献频次推断,4,4,2019,2023,BPH;SBPH;WBPH,yes,yes,遗传定位、克隆与抗源部署,31885402;37623248;37731986;38069282
Bph28,核心抗性基因/位点,未报告/不可由文献频次推断,4,4,2019,2023,BPH,not explicit,yes,遗传定位、克隆与抗源部署;生长防御权衡与农艺环境,31885402;35267056;35910769;38069282
Bph6G,核心抗性基因/位点,原句含效应量/主微效描述，需回到原文核验,9,3,2020,2024,BPH,not explicit,yes,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子;病毒-媒介-水稻三方互作,32041548;37636117;38562566
Bph39,核心抗性基因/位点,原句含效应量/主微效描述，需回到原文核验,5,3,2022,2024,BPH,not explicit,yes,遗传定位、克隆与抗源部署,35910769;38003009;38911334
Bph44,核心抗性基因/位点,未报告/不可由文献频次推断,4,3,2022,2023,BPH,not explicit,yes,遗传定位、克隆与抗源部署,35863076;37649829;38069282
Bph24,核心抗性基因/位点,未报告/不可由文献频次推断,4,3,2016,2022,BPH,not explicit,yes,遗传定位、克隆与抗源部署,27901104;31885402;35886780
Bph11,核心抗性基因/位点,未报告/不可由文献频次推断,3,3,2015,2023,BPH,not explicit,not explicit,遗传定位、克隆与抗源部署,26690414;31885402;38069282
Bph35,核心抗性基因/位点,未报告/不可由文献频次推断,3,3,2019,2023,BPH,not explicit,yes,遗传定位、克隆与抗源部署,31885402;35845644;38069282
Bph41,核心抗性基因/位点,未报告/不可由文献频次推断,16,2,2022,2023,BPH,not explicit,yes,遗传定位、克隆与抗源部署;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,36323756;38069282
Bph22,核心抗性基因/位点,未报告/不可由文献频次推断,2,2,2019,2022,BPH,not explicit,not explicit,遗传定位、克隆与抗源部署,31885402;35899197
Bph16,核心抗性基因/位点,未报告/不可由文献频次推断,2,2,2011,2019,BPH,not explicit,yes,遗传定位、克隆与抗源部署,22048639;31885402
Bph14P,核心抗性基因/位点,未报告/不可由文献频次推断,2,2,2013,2017,BPH,not explicit,yes,遗传定位、克隆与抗源部署,24273431;29282566
Bph46,核心抗性基因/位点,未报告/不可由文献频次推断,2,1,2024,2024,BPH,yes,yes,遗传定位、克隆与抗源部署,38625904
Bph27t,核心抗性基因/位点,未报告/不可由文献频次推断,1,1,2021,2021,BPH,not explicit,yes,遗传定位、克隆与抗源部署;生长防御权衡与农艺环境,33719290
Bph23,核心抗性基因/位点,未报告/不可由文献频次推断,1,1,2019,2019,BPH,not explicit,not explicit,遗传定位、克隆与抗源部署,31885402
Bph68S,核心抗性基因/位点,未报告/不可由文献频次推断,1,1,2017,2017,BPH,not explicit,yes,遗传定位、克隆与抗源部署,28638401
Bph14N,核心抗性基因/位点,未报告/不可由文献频次推断,1,1,2017,2017,BPH,not explicit,yes,遗传定位、克隆与抗源部署,29282566
Bph162,核心抗性基因/位点,未报告/不可由文献频次推断,1,1,2015,2015,,not explicit,yes,遗传定位、克隆与抗源部署,25844112
OsF3H,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,11,10,2019,2025,BPH;SBPH;WBPH,yes,yes,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,30734457;33547972;33677774;35343596;35850632;36499636;36902211;38069282;38520013;40082317
OsERF3,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,12,9,2011,2024,BPH,yes,yes,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,21831212;23228240;26083713;28245796;30551584;37569437;37762665;38069282;39558244
OsPAL8,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,9,8,2020,2025,BPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御;生长防御权衡与农艺环境,31848246;32184449;34651397;36952539;37569437;38069282;38520013;40042898
OsGRF8,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,9,8,2019,2024,BPH;WBPH,yes,not explicit,次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子,30734457;33547972;33677774;34283216;34884461;37176028;38069282;38701348
OsmiR396,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,14,7,2019,2024,BPH;WBPH,yes,yes,激素、氧化还原与信号调控;次生代谢与挥发性防御;病毒-媒介-水稻三方互作,30734457;33677774;36221916;37480003;38069282;38337906;38520013
OsLecRK1,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,13,7,2018,2024,BPH;WBPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,30551584;30888525;32937908;33201594;36187783;36952539;39397365
OsLecRK3,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,13,7,2018,2023,BPH;WBPH,yes,yes,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作,30551584;30888525;32937908;33154527;35218297;36187783;36952539
OsLecRK,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,7,7,2017,2024,BPH,yes,yes,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,29114253;30551584;30888525;32937908;34794392;37569437;39555011
OsWRKY45,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,25,6,2016,2023,BPH,yes,yes,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,27258255;30217023;37372105;37569437;38023936;38069282
OsSLR1,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,9,6,2017,2025,BPH;SBPH,yes,yes,韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,28666057;30217023;30740564;36902211;37445669;39853648
OsNPR1,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,8,6,2017,2024,BPH;SBPH,not explicit,yes,激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作,28167952;30551584;35163461;35876337;37789388;39245936
OsHPL3,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,8,6,2012,2024,BPH;WBPH,yes,not explicit,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御;病毒-媒介-水稻三方互作,22519706;26054241;27924841;28245796;34220297;38891303
OsPAL6,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,7,6,2020,2025,BPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御;生长防御权衡与农艺环境,32184449;36952539;37569437;38069282;38520013;40042898
OsHI-LOX,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,7,6,2009,2023,BPH,yes,not explicit,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控,19656341;26054241;28245796;30796564;35876337;37372105
OsAOS1,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,16,5,2018,2024,BPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,30551584;33652695;34908164;36064309;38988632
OsWRKY70,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,10,5,2015,2023,BPH,yes,not explicit,激素、氧化还原与信号调控,26083713;30740564;33562367;34830062;37762665
OsMPK3,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,10,5,2017,2021,BPH,yes,yes,激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,28167952;30551584;30740564;31226870;34830062
OsACS2,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,8,5,2014,2023,BPH,yes,yes,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,25064847;28245796;30217023;30551584;38069282
OsLecRK1-OsLecRK3,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,5,5,2017,2024,BPH;WBPH,yes,yes,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,28436098;32937908;37731986;37752622;38625904
OsCOI1,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,16,4,2012,2024,BPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子;病毒-媒介-水稻三方互作,22558386;35682620;35876337;39245936
OsWRKY53,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,12,4,2016,2023,BPH,yes,yes,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控,27031005;34830062;37569437;37762665
OsMAPK20-5,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,5,4,2019,2025,BPH,yes,not explicit,激素、氧化还原与信号调控,30602493;33562367;38069282;40082317
OsGID1,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,22,3,2018,2023,BPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作,30217023;33154527;37569437
OsSTPS2,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,10,3,2019,2023,BPH,yes,yes,遗传定位、克隆与抗源部署;次生代谢与挥发性防御,30888525;34067367;38023936
OsWRKY46,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,3,3,2023,2023,BPH;SBPH,yes,not explicit,韧皮部取食界面与结构防御;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子;病毒-媒介-水稻三方互作,37789388;38023936;38069282
OsEXO70E1,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,3,3,2022,2023,BPH,yes,not explicit,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,35068048;37402009;37790794
OsmiR156,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,3,3,2023,2023,BPH,not explicit,yes,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控;次生代谢与挥发性防御,37480003;37569437;38069282
OsNCED3,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,63,2,2022,2024,BPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御;生长防御权衡与农艺环境,36064309;38988632
Osa-miR162a,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,32,2,2021,2023,BPH,yes,yes,次生代谢与挥发性防御,34884461;38078088
OsJMJ715,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,22,2,2021,2024,BPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作,34884830;39245936
OsEXO70H3,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,15,2,2022,2023,BPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;宿主免疫、肽信号与昆虫效应子,35119102;37790794
OsAOS2,功能验证的宿主调控/执行因子,原句含效应量/主微效描述，需回到原文核验,11,2,2018,2021,BPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,30551584;33652695
OsAOS,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,7,2,2021,2022,BPH,yes,not explicit,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御,33652695;35876337
OsEBF2,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,6,2,2023,2024,BPH,not explicit,yes,激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子;病毒-媒介-水稻三方互作,36462682;39245936
OsSPL10,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,6,2,2023,2023,BPH,yes,not explicit,次生代谢与挥发性防御,37819387;38069282
OsMPK4,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,6,2,2018,2019,BPH,not explicit,not explicit,激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,30551584;31226870
OsmiR396-sequestered,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,4,2,2019,2022,BPH,yes,not explicit,次生代谢与挥发性防御;病毒-媒介-水稻三方互作,30734457;36221916
OsWRKY24,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,4,2,2018,2021,BPH,yes,not explicit,激素、氧化还原与信号调控,30740564;34830062
OsF3,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,3,2,2022,2024,BPH,yes,not explicit,次生代谢与挥发性防御,35343596;38520013
OsEBF1,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,3,2,2023,2024,BPH,not explicit,yes,激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子;病毒-媒介-水稻三方互作,36462682;39245936
OsMPK20-5,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,3,2,2019,2022,BPH,not explicit,not explicit,激素、氧化还原与信号调控,31226870;36499636
OsLecRK2,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,3,2,2019,2020,BPH,yes,yes,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,30888525;32937908
Osr9-LOX1,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,3,2,2017,2019,BPH,yes,not explicit,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控,28245796;30796564
OsEXPA10,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,3,2,2018,2019,BPH,yes,yes,遗传定位、克隆与抗源部署,29619515;31381594
OsMYC2,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,2,2,2023,2024,BPH,yes,not explicit,激素、氧化还原与信号调控,37834016;38988632
OsGRF6,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,2,2,2021,2024,BPH,yes,not explicit,次生代谢与挥发性防御,33547972;38701348
OsGRF7,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,2,2,2021,2024,BPH,yes,not explicit,次生代谢与挥发性防御,33547972;38701348
OsGRF9,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,2,2,2021,2024,BPH,yes,not explicit,次生代谢与挥发性防御,33547972;38701348
OsEIL1,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,2,2,2023,2024,BPH,not explicit,yes,激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,36462682;39245936
OsWRKY72,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,2,2,2023,2023,BPH,yes,not explicit,韧皮部取食界面与结构防御;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子,38023936;38069282
OsWRKY62,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,2,2,2023,2023,BPH,yes,not explicit,激素、氧化还原与信号调控,37372105;38023936
OsAOC,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,2,2,2017,2023,BPH,yes,not explicit,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控,28245796;37834016
OsWRKY71,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,26,1,2023,2023,BPH;SBPH,yes,yes,遗传定位、克隆与抗源部署;激素、氧化还原与信号调控;次生代谢与挥发性防御,38023936
OsLecRK1-mediated,功能验证的宿主调控/执行因子,未报告/不可由文献频次推断,25,1,2023,2023,BPH;WBPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子,36952539
