PMID,year,phase,journal,title,retrieval_scopes,sentence_count,themes,methods
39853648,2025,2021-2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",An Insect Effector Mimics Its Host Immune Regulator to Undermine Plant Immunity.,BPH resistance,24,抗源鉴定与表型评价; 主效抗性基因与受体识别; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,转基因/RNAi/突变体; 田间/产量/育种评价
39964588,2025,2021-2025,"Rice (New York, N.Y.)",Jasmonic Acid (JA) Signaling Pathway in Rice Defense Against Chilo suppressalis Infestation.,BPH resistance,1,抗源鉴定与表型评价; 主效抗性基因与受体识别; 激素、转录与免疫信号; 生长-防御权衡与育种转化,田间/产量/育种评价
39976729,2025,2021-2025,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,Exploring resistance mechanisms and identifying QTLs for brown planthopper in tropical and subtropical rice (Oryza sativa L.) germplasm.,BPH resistance,4,抗源鉴定与表型评价; 生长-防御权衡与育种转化,田间/产量/育种评价
40004225,2025,2021-2025,International journal of molecular sciences,Transcriptome Analysis and Resistance Identification of bar and BPH9 Co-Transformation Rice.,BPH resistance,3,抗源鉴定与表型评价; 主效抗性基因与受体识别; 组学与系统网络; 基因编辑与功能验证,表达组学/多组学; 转基因/RNAi/突变体
40042898,2025,2021-2025,Proceedings of the National Academy of Sciences of the United States of America,A WRKY transcription factor confers broad-spectrum resistance to biotic stresses and yield stability in rice.,BPH resistance; WBPH resistance,10,抗源鉴定与表型评价; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 基因编辑与功能验证; 生长-防御权衡与育种转化,转基因/RNAi/突变体; CRISPR/精准编辑; 田间/产量/育种评价
40045022,2025,2021-2025,The EMBO journal,A double-agent microRNA regulates viral cross-kingdom infection in animals and plants.,BPH damage; Broad planthopper,2,,
40082317,2025,2021-2025,"Rice (New York, N.Y.)",Revealing Genomic Traits and Evolutionary Insights of Oryza officinalis from Southern China Through Genome Assembly and Transcriptome Analysis.,BPH resistance,7,抗源鉴定与表型评价; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 组学与系统网络; 基因编辑与功能验证; 宿主-昆虫互作与效应子,表达组学/多组学; 转基因/RNAi/突变体
40169387,2025,2021-2025,The New phytologist,The MYC2-JAMYB transcriptional cascade regulates rice resistance to brown planthoppers.,BPH resistance,2,抗源鉴定与表型评价; 基因编辑与功能验证; 生长-防御权衡与育种转化,转基因/RNAi/突变体; 田间/产量/育种评价
40214427,2025,2021-2025,Cells,Decoding Plant Ribosomal Proteins: Multitasking Players in Cellular Games.,BPH resistance,1,抗源鉴定与表型评价,
40251159,2025,2021-2025,Nature communications,Mechanosensing antagonizes ethylene signaling to promote root gravitropism in rice.,BPH damage,1,抗源鉴定与表型评价; 激素、转录与免疫信号,
40257666,2025,2021-2025,Advanced biotechnology,Nepenthes chitinase NkChit2b- 1 confers broad-spectrum resistance to chitin-containing pathogens and insects in plants.,BPH resistance,4,抗源鉴定与表型评价; 代谢、挥发物与结构防御; 生长-防御权衡与育种转化,
40303855,2025,2021-2025,Frontiers in plant science,Role of carbohydrate-active enzymes in brown planthopper virulence and adaptability.,BPH resistance,20,抗源鉴定与表型评价; 主效抗性基因与受体识别; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 宿主-昆虫互作与效应子; 昆虫侧适应、毒力与药剂抗性,
37334667,2024,2021-2025,Insect science,The evolution and functional divergence of 10 Apolipoprotein D-like genes in Nilaparvata lugens.,BPH resistance,1,,
37888855,2024,2021-2025,Pest management science,The immune response mechanism of Nilaparvata lugens against a combined infection of rice ragged stunt virus and Metarhizium anisopliae.,BPH resistance,1,激素、转录与免疫信号,
38015011,2024,2021-2025,Pest management science,Pyramiding BPH genes in rice maintains resistance against the brown planthopper under climate change.,BPH resistance,3,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别,连锁/QTL/标记育种; 田间/产量/育种评价
38167823,2024,2021-2025,Nature communications,Leafhopper salivary vitellogenin mediates virus transmission to plant phloem.,BPH damage,1,宿主-昆虫互作与效应子,
38241319,2024,2021-2025,PloS one,Developing climate-resilient rice varieties (BRRI dhan97 and BRRI dhan99) suitable for salt-stress environments in Bangladesh.,BPH damage,1,抗源鉴定与表型评价,
38256227,2024,2021-2025,International journal of molecular sciences,microRNAs: Key Regulators in Plant Responses to Abiotic and Biotic Stresses via Endogenous and Cross-Kingdom Mechanisms.,BPH damage,1,组学与系统网络,
38310172,2024,2021-2025,Scientific reports,Early transcriptomic responses of rice leaves to herbivory by Spodoptera frugiperda.,BPH damage,1,组学与系统网络,表达组学/多组学
38332248,2024,2021-2025,The New phytologist,Brown planthopper infestation on rice reduces plant susceptibility to Meloidogyne graminicola by reducing root sugar allocation.,BPH resistance,2,抗源鉴定与表型评价; 主效抗性基因与受体识别; 基因编辑与功能验证; 宿主-昆虫互作与效应子,转基因/RNAi/突变体
38337906,2024,2021-2025,"Plants (Basel, Switzerland)",Defense Regulatory Network Associated with circRNA in Rice in Response to Brown Planthopper Infestation.,BPH resistance,20,抗源鉴定与表型评价; 主效抗性基因与受体识别; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 组学与系统网络; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,表达组学/多组学; 转基因/RNAi/突变体; 田间/产量/育种评价
38392507,2024,2021-2025,Insects,"Endosymbiotic Fungal Diversity and Dynamics of the Brown Planthopper across Developmental Stages, Tissues, and Sexes Revealed Using Circular Consensus Sequencing.",BPH resistance,3,抗源鉴定与表型评价; 代谢、挥发物与结构防御; 昆虫侧适应、毒力与药剂抗性,
38430431,2024,2021-2025,"Rice (New York, N.Y.)",Biofortified Rice Provides Rich Sakuranetin in Endosperm.,BPH resistance,1,激素、转录与免疫信号,
38435807,2024,2021-2025,Biodesign research,Advances in the Application of Single-Cell Transcriptomics in Plant Systems and Synthetic Biology.,BPH damage,1,抗源鉴定与表型评价; 组学与系统网络,表达组学/多组学
38450091,2024,2021-2025,Journal of pesticide science,"Insecticidal activity against rice pest of oxazosulfyl, a novel sulfyl insecticide.",BPH resistance,3,抗源鉴定与表型评价; 基因编辑与功能验证; 昆虫侧适应、毒力与药剂抗性; 生长-防御权衡与育种转化,转基因/RNAi/突变体; 田间/产量/育种评价
38488805,2024,2021-2025,Plant biotechnology journal,Development of a transgenic rice line with strong and broad resistance against four devastating rice viruses through expressing a single hairpin RNA construct.,BPH resistance,1,抗源鉴定与表型评价; 基因编辑与功能验证,转基因/RNAi/突变体
38520013,2024,2021-2025,BMC biology,OsmiR319-OsPCF5 modulate resistance to brown planthopper in rice through association with MYB proteins.,BPH damage; BPH resistance,18,抗源鉴定与表型评价; 主效抗性基因与受体识别; 代谢、挥发物与结构防御; 组学与系统网络; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,转基因/RNAi/突变体; 田间/产量/育种评价
38535360,2024,2021-2025,Insects,Heterosis for Resistance to Insect Herbivores in a 3-Line Hybrid Rice System.,BPH resistance; WBPH resistance,3,抗源鉴定与表型评价; 主效抗性基因与受体识别,
38554053,2024,2021-2025,Pest management science,Discovery and biological characterization of a novel mesoionic insecticide fenmezoditiaz.,BPH resistance,2,抗源鉴定与表型评价; 昆虫侧适应、毒力与药剂抗性,
38562566,2024,2021-2025,Frontiers in plant science,Combined miRNA and mRNA sequencing reveals the defensive strategies of resistant YHY15 rice against differentially virulent brown planthoppers.,BPH resistance,54,抗源鉴定与表型评价; 主效抗性基因与受体识别; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 组学与系统网络; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 昆虫侧适应、毒力与药剂抗性; 生长-防御权衡与育种转化,表达组学/多组学; 转基因/RNAi/突变体; 田间/产量/育种评价
38565704,2024,2021-2025,Planta,Rice physical defenses and their role against insect herbivores.,BPH resistance,3,抗源鉴定与表型评价; 代谢、挥发物与结构防御,
38576786,2024,2021-2025,Frontiers in plant science,Genome-wide association study and genomic prediction for resistance to brown planthopper in rice.,BPH resistance,24,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 生长-防御权衡与育种转化,GWAS/群体基因组/基因组预测; 田间/产量/育种评价
38588412,2024,2021-2025,Proceedings of the National Academy of Sciences of the United States of America,Cross-kingdom RNA interference mediated by insect salivary microRNAs may suppress plant immunity.,Broad planthopper,1,抗源鉴定与表型评价; 基因编辑与功能验证; 宿主-昆虫互作与效应子,转基因/RNAi/突变体
38601688,2024,2021-2025,Heliyon,Roles of herbivorous insects salivary proteins.,BPH resistance,3,抗源鉴定与表型评价; 组学与系统网络; 宿主-昆虫互作与效应子,表达组学/多组学
38612510,2024,2021-2025,International journal of molecular sciences,Silencing an ATP-Dependent Caseinolytic Protease Proteolytic Subunit Gene Enhances the Resistance of Rice to Nilaparvata lugens.,BPH resistance,20,抗源鉴定与表型评价; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 组学与系统网络; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 昆虫侧适应、毒力与药剂抗性; 生长-防御权衡与育种转化,表达组学/多组学; 转基因/RNAi/突变体; 田间/产量/育种评价
38625904,2024,2021-2025,PloS one,Fine mapping and breeding application of two brown planthopper resistance genes derived from landrace rice.,BPH resistance,14,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 田间/产量/育种评价
38661024,2024,2021-2025,Pest management science,Colonization of Piriformospora indica enhances rice resistance against the brown planthopper Nilaparvata lugens.,BPH resistance,4,抗源鉴定与表型评价; 宿主-昆虫互作与效应子,
38676556,2024,2021-2025,Pest management science,The miR184-3p targets neuron-specific ecdysone inducible protein 78 to promote rice black streaked dwarf virus propagation in its planthopper vector.,Broad planthopper,1,组学与系统网络,
38701348,2024,2021-2025,The Plant cell,GROWTH REGULATING FACTOR 7-mediated arbutin metabolism enhances rice salt tolerance.,BPH resistance,1,抗源鉴定与表型评价; 代谢、挥发物与结构防御; 基因编辑与功能验证,转基因/RNAi/突变体
38791179,2024,2021-2025,International journal of molecular sciences,"PTTH-Torso Signaling System Controls Developmental Timing, Body Size, and Reproduction through Regulating Ecdysone Homeostasis in the Brown Planthopper, Nilaparvata lugens.",BPH resistance,1,抗源鉴定与表型评价; 激素、转录与免疫信号,
38791444,2024,2021-2025,Unknown,,BPH resistance,2,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 田间/产量/育种评价
38865374,2024,2021-2025,PLoS pathogens,Arboviruses antagonize insect Toll antiviral immune signaling to facilitate the coexistence of viruses with their vectors.,Broad planthopper,1,激素、转录与免疫信号,
38870934,2024,2021-2025,Current biology : CB,Brown planthoppers manipulate rice sugar transporters to benefit their own feeding.,BPH resistance,1,抗源鉴定与表型评价,
38891303,2024,2021-2025,"Plants (Basel, Switzerland)",OsRCI-1-Mediated GLVs Enhance Rice Resistance to Brown Planthoppers.,BPH damage; BPH resistance,18,抗源鉴定与表型评价; 代谢、挥发物与结构防御; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,转基因/RNAi/突变体; 田间/产量/育种评价
38911334,2024,2021-2025,Molecular breeding : new strategies in plant improvement,"Identification and candidate analysis of a new brown planthopper resistance locus in an Indian landrace of rice, paedai kalibungga.",BPH resistance,3,抗源鉴定与表型评价; 主效抗性基因与受体识别,
38911983,2024,2021-2025,Frontiers in plant science,"Integration of molecular breeding and multi-resistance screening for developing a promising restorer line Guihui5501 with heavy grain, good grain quality, and endurance to biotic and abiotic stresses.",BPH resistance,13,抗源鉴定与表型评价; 主效抗性基因与受体识别; 生长-防御权衡与育种转化,田间/产量/育种评价
38921131,2024,2021-2025,Insects,Heterosis for Interactions between Insect Herbivores and 3-Line Hybrid Rice under Low and High Soil Nitrogen Conditions.,BPH resistance,6,抗源鉴定与表型评价; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,田间/产量/育种评价
38928504,2024,2021-2025,International journal of molecular sciences,Melatonin: The Multifaceted Molecule in Plant Growth and Defense.,BPH damage,1,抗源鉴定与表型评价; 代谢、挥发物与结构防御; 生长-防御权衡与育种转化,
38930586,2024,2021-2025,Microorganisms,The Spread of Southern Rice Black-Streaked Dwarf Virus Was Not Caused by Biological Changes in Vector Sogatella furcifera.,BPH damage; WBPH resistance,2,抗源鉴定与表型评价; 主效抗性基因与受体识别,
38933460,2024,2021-2025,Frontiers in plant science,Volatiles of different resistant cotton varieties mediate the host preference of Mirid bug Apolygus lucorum.,BPH damage,1,抗源鉴定与表型评价; 代谢、挥发物与结构防御; 基因编辑与功能验证,转基因/RNAi/突变体
38961963,2024,2021-2025,Heliyon,Effective multidimensional treatment identification of different chemical fertilizers: Response of insect dynamics and rice production.,BPH resistance,1,生长-防御权衡与育种转化,田间/产量/育种评价
38988632,2024,2021-2025,Frontiers in plant science,A key ABA biosynthetic gene OsNCED3 is a positive regulator in resistance to Nilaparvata lugens in Oryza sativa.,BPH resistance,29,抗源鉴定与表型评价; 主效抗性基因与受体识别; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 组学与系统网络; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,表达组学/多组学; 转基因/RNAi/突变体; 田间/产量/育种评价
39045218,2024,2021-2025,Frontiers in physiology,Role of nuclear protein Akirin in the modulation of female reproduction in Nilaparvata lugens (Hemiptera: Delphacidae).,BPH resistance,4,抗源鉴定与表型评价; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 生长-防御权衡与育种转化,田间/产量/育种评价
39062703,2024,2021-2025,Genes,Examination of the Expression Profile of Resistance Genes in Yuanjiang Common Wild Rice (Oryza rufipogon).,BPH resistance,1,抗源鉴定与表型评价; 主效抗性基因与受体识别,
39091314,2024,2021-2025,Frontiers in plant science,Gamma-aminobutyric acid treatment promotes resistance against Sogatella furcifera in rice.,WBPH resistance,4,抗源鉴定与表型评价,
39145425,2024,2021-2025,Plant biotechnology journal,Loss-of-function of LIGULELESS1 activates the jasmonate pathway and promotes maize resistance to corn leaf aphids.,BPH resistance,1,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 激素、转录与免疫信号; 基因编辑与功能验证,
39171839,2024,2021-2025,Journal of integrative plant biology,The plant terpenes DMNT and TMTT function as signaling compounds that attract Asian corn borer (Ostrinia furnacalis) to maize plants.,BPH damage,1,激素、转录与免疫信号; 代谢、挥发物与结构防御; 宿主-昆虫互作与效应子,
39233440,2024,2021-2025,Plant communications,Exploring and exploiting the rice phytobiome to tackle climate change challenges.,BPH resistance,1,抗源鉴定与表型评价; 激素、转录与免疫信号; 代谢、挥发物与结构防御,
39245936,2024,2021-2025,Plant communications,Rice E3 ubiquitin ligases: From key modulators of host immunity to potential breeding applications.,BPH resistance,4,抗源鉴定与表型评价; 激素、转录与免疫信号; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,田间/产量/育种评价
39251763,2024,2021-2025,Nature food,Identification and knockout of a herbivore susceptibility gene enhances planthopper resistance and increases rice yield.,BPH damage,1,抗源鉴定与表型评价; 基因编辑与功能验证; 生长-防御权衡与育种转化,田间/产量/育种评价
39254868,2024,2021-2025,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,Current status of molecular rice breeding for durable and broad-spectrum resistance to major diseases and insect pests.,BPH resistance,1,抗源鉴定与表型评价; 生长-防御权衡与育种转化,田间/产量/育种评价
39336620,2024,2021-2025,Insects,Virulence Adaptation by Rice Planthoppers and Leafhoppers to Resistance Genes and Loci: A Review.,BPH resistance,1,抗源鉴定与表型评价; 主效抗性基因与受体识别; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,田间/产量/育种评价
39340817,2024,2021-2025,Plant biotechnology journal,Limonene enhances rice plant resistance to a piercing-sucking herbivore and rice pathogens.,BPH resistance,23,抗源鉴定与表型评价; 代谢、挥发物与结构防御; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,转基因/RNAi/突变体; 田间/产量/育种评价
39341852,2024,2021-2025,Scientific reports,A time-course transcriptomic analysis reveals the key responses of a resistant rice cultivar to brown planthopper infestation.,BPH resistance,7,抗源鉴定与表型评价; 主效抗性基因与受体识别; 组学与系统网络; 生长-防御权衡与育种转化,表达组学/多组学; 田间/产量/育种评价
39365503,2024,2021-2025,Molecular biology reports,Breeding for brown plant hopper resistance in rice: recent updates and future perspectives.,BPH resistance,2,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 田间/产量/育种评价
39397365,2024,2021-2025,Plant communications,Breeding herbicide-resistant rice using CRISPR-Cas gene editing and other technologies.,BPH resistance,2,抗源鉴定与表型评价; 主效抗性基因与受体识别; 基因编辑与功能验证; 生长-防御权衡与育种转化,转基因/RNAi/突变体; CRISPR/精准编辑; 田间/产量/育种评价
39400920,2024,2021-2025,"Plant, cell & environment",The Threat of the Fall Armyworm to Asian Rice Production Is Amplified by the Brown Planthopper.,BPH resistance,15,抗源鉴定与表型评价; 代谢、挥发物与结构防御; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,田间/产量/育种评价
39406243,2024,2021-2025,Current biology : CB,Rapid intracellular acidification is a plant defense response countered by the brown planthopper.,BPH resistance,4,抗源鉴定与表型评价; 激素、转录与免疫信号; 基因编辑与功能验证; 宿主-昆虫互作与效应子,转基因/RNAi/突变体
39408744,2024,2021-2025,International journal of molecular sciences,Knockdown of Adenosine 5'-Triphosphate-Dependent Caseinolytic Protease Proteolytic Subunit 6 Enhances Aluminum Tolerance in Peanut Plants (Arachis hypogea L.).,BPH damage,1,抗源鉴定与表型评价; 激素、转录与免疫信号; 基因编辑与功能验证,
39432737,2024,2021-2025,The Plant journal : for cell and molecular biology,Jasmonate-mediated polyamine oxidase 6 drives herbivore-induced polyamine catabolism in rice.,BPH resistance,1,激素、转录与免疫信号,
39452319,2024,2021-2025,Insects,RNAseq-Based Carboxylesterase Nl-EST1 Gene Expression Plasticity Identification and Its Potential Involvement in Fenobucarb Resistance in the Brown Planthopper Nilaparvata lugens.,BPH resistance,2,抗源鉴定与表型评价; 主效抗性基因与受体识别; 昆虫侧适应、毒力与药剂抗性; 生长-防御权衡与育种转化,田间/产量/育种评价
39452348,2024,2021-2025,Insects,Identification and Characterization of Four Novel Viruses in Balclutha incisa.,BPH damage,1,,
39456764,2024,2021-2025,International journal of molecular sciences,Integrative Omics Strategies for Understanding and Combating Brown Planthopper Virulence in Rice Production: A Review.,BPH damage,1,抗源鉴定与表型评价; 宿主-昆虫互作与效应子; 昆虫侧适应、毒力与药剂抗性,
39477594,2024,2021-2025,Pesticide biochemistry and physiology,RNAi-mediated silencing of NlGRP3 augments the insecticidal virulence of Metarhizium anisopliae to the brown planthopper Nilaparvata lugens.,BPH resistance,1,抗源鉴定与表型评价; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 昆虫侧适应、毒力与药剂抗性,转基因/RNAi/突变体
39477626,2024,2021-2025,Pesticide biochemistry and physiology,"Area-wide survey and monitoring of insecticide resistance in the brown planthopper, Nilaparvata lugens (Stål), from 2020 to 2023 in China.",BPH resistance,1,抗源鉴定与表型评价; 昆虫侧适应、毒力与药剂抗性; 生长-防御权衡与育种转化,田间/产量/育种评价
39555011,2024,2021-2025,Breeding science,Substitution mapping and characterization of brown planthopper resistance genes from traditional rice cultivar 'Rathu Heenati' (Oryza sativa L.).,BPH resistance,18,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 田间/产量/育种评价
39558244,2024,2021-2025,BMC plant biology,TMT-based quantitative proteomics analysis of defense responses induced by the Bph3 gene following brown planthopper infection in rice.,BPH resistance,17,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 组学与系统网络; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,表达组学/多组学; 田间/产量/育种评价
39570081,2024,2021-2025,Journal of virology,Insights into the role of N6-methyladenosine (m6A) in plant-virus interactions.,BPH damage,1,宿主-昆虫互作与效应子,
39590459,2024,2021-2025,Insects,Functional Analysis of CPSF30 in Nilaparvata lugens Using RNA Interference Reveals Its Essential Role in Development and Survival.,BPH damage; BPH resistance,3,抗源鉴定与表型评价; 基因编辑与功能验证; 宿主-昆虫互作与效应子,转基因/RNAi/突变体
39590466,2024,2021-2025,Insects,Identification and Functional Analysis of Three NlCstF Genes in Nilaparvata lugens.,BPH resistance,4,抗源鉴定与表型评价; 基因编辑与功能验证,转基因/RNAi/突变体
39590921,2024,2021-2025,The Plant journal : for cell and molecular biology,LncRNA81246 regulates resistance against tea leaf spot by interrupting the miR164d-mediated degradation of NAC1.,BPH damage,1,抗源鉴定与表型评价; 组学与系统网络,表达组学/多组学
39594043,2024,2021-2025,"Foods (Basel, Switzerland)",Development of Whole-Grain Rice Lines Exhibiting Low and Intermediate Glycemic Index with Decreased Amylose Content.,BPH resistance,2,抗源鉴定与表型评价; 生长-防御权衡与育种转化,田间/产量/育种评价
39640406,2024,2021-2025,Data in brief,Dataset on developing climate-smart transplanted Aus rice variety BRRI dhan98 suitable for partially irrigated ecosystem in Bangladesh.,BPH resistance,1,抗源鉴定与表型评价; 主效抗性基因与受体识别,
39640997,2024,2021-2025,Frontiers in plant science,Unveiling the crucial roles of abscisic acid in plant physiology: implications for enhancing stress tolerance and productivity.,BPH damage,1,抗源鉴定与表型评价; 激素、转录与免疫信号; 基因编辑与功能验证; 生长-防御权衡与育种转化,转基因/RNAi/突变体; 田间/产量/育种评价
39654672,2024,2021-2025,Frontiers in microbiology,Screening of the highly pathogenic Beauveria bassiana BEdy1 against Sogatella furcifera and exploration of its infection mode.,WBPH resistance,1,抗源鉴定与表型评价; 生长-防御权衡与育种转化,田间/产量/育种评价
39674500,2024,2021-2025,Journal of advanced research,Improving grain yield and salt tolerance by optimizing plant height with beneficial haplotypes in rice (Oryza sativa).,BPH damage,1,抗源鉴定与表型评价; 生长-防御权衡与育种转化,田间/产量/育种评价
39684676,2024,2021-2025,International journal of molecular sciences,Recent Advances in Gene Mining and Hormonal Mechanism for Brown Planthopper Resistance in Rice.,BPH resistance,5,抗源鉴定与表型评价; 主效抗性基因与受体识别; 激素、转录与免疫信号; 代谢、挥发物与结构防御,
39693337,2024,2021-2025,Proceedings of the National Academy of Sciences of the United States of America,A frameshift mutation in JAZ10 resolves the growth versus defense dilemma in rice.,BPH damage,1,抗源鉴定与表型评价; 基因编辑与功能验证; 生长-防御权衡与育种转化,转基因/RNAi/突变体; 田间/产量/育种评价
39724382,2024,2021-2025,Plant cell reports,OsMYB1 antagonizes OsSPL14 to mediate rice resistance to brown planthopper and Xanthomonas oryzae pv. oryzae.,BPH damage; BPH resistance,3,抗源鉴定与表型评价; 基因编辑与功能验证,转基因/RNAi/突变体
39730322,2024,2021-2025,Nature communications,Shoot-Silicon-Signal protein to regulate root silicon uptake in rice.,BPH damage,1,,
39769161,2024,2021-2025,International journal of molecular sciences,"Insight into Rice Resistance to the Brown Planthopper: Gene Cloning, Functional Analysis, and Breeding Applications.",BPH resistance,5,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 激素、转录与免疫信号; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 田间/产量/育种评价
39769594,2024,2021-2025,Insects,Comparative Transcriptome Analysis Highlights the Role of NlABCG14 in the Honeydew Production of Virulent Brown Planthoppers (Nilaparvata lugens Stål) to Resistant Rice Variety.,BPH resistance,2,抗源鉴定与表型评价; 主效抗性基因与受体识别; 组学与系统网络; 宿主-昆虫互作与效应子,表达组学/多组学
39796027,2024,2021-2025,International journal of molecular sciences,"A Cytosolic Phosphoglucose Isomerase, OsPGI1c, Enhances Plant Growth and Herbivore Resistance in Rice.",BPH resistance,2,抗源鉴定与表型评价; 基因编辑与功能验证,转基因/RNAi/突变体
35306741,2023,2021-2025,Insect science,Relative contribution of genetic and environmental factors to determination of wing morphs of the brown planthopper Nilaparvata lugens.,BPH resistance,1,宿主-昆虫互作与效应子,
36462682,2023,2021-2025,Plant science : an international journal of experimental plant biology,The F-box protein OsEBF2 confers the resistance to the brown planthopper (Nilparvata lugens Stål).,BPH resistance,4,抗源鉴定与表型评价; 激素、转录与免疫信号; 生长-防御权衡与育种转化,田间/产量/育种评价
36528849,2023,2021-2025,Insect science,"FoxO is required for optimal fitness of the migratory brown planthopper, Nilaparvata lugens (Hemiptera: Delphacidae).",BPH resistance,1,基因编辑与功能验证; 生长-防御权衡与育种转化,转基因/RNAi/突变体; CRISPR/精准编辑; 田间/产量/育种评价
36622503,2023,2021-2025,"Rice (New York, N.Y.)","Rice Defense Responses Orchestrated by Oral Bacteria of the Rice Striped Stem Borer, Chilo suppressalis.",BPH damage,1,抗源鉴定与表型评价; 激素、转录与免疫信号,
