PMID,sent_id,year,journal,title,doi,text,gene,trait,ontology_id,ontology_type,confidence,evidence_code,source_db
40042898,44469967,2025,Proceedings of the National Academy of Sciences of the United States of America,A WRKY transcription factor confers broad-spectrum resistance to biotic stresses and yield stability in rice.,,"To confirm the role of OsWRKY36 in BPH resistance, we generated two independent OsWRKY36-overexpressing transgenic lines (OsWRKY36-OE) and two independent homozygous knockout lines (OsWRKY36-KO) of OsWRKY36 in the background of Ningjing1 (an elite japonica cultivar) using the CRISPR/Cas9 method (Fig. 1).",,,,,,,
39853648,43871999,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",An Insect Effector Mimics Its Host Immune Regulator to Undermine Plant Immunity.,,"Thus, the BPH effector Nl14 suppresses BPH-induced JA, JA-Ile, and H2O2 accumulation in rice.",,,,,,,
40303855,45080652,2025,Frontiers in plant science,Role of carbohydrate-active enzymes in brown planthopper virulence and adaptability.,,"CAZymes such as the beta-1,4-glucanase NlEG1 in BPH facilitate the degradation of rice cellulose, allowing the BPH to access phloem and enhance its feeding efficiency.",,,,,,,
39821341,43774860,2025,Pest management science,The continuing significance of chiral agrochemicals.,,"Furthermore, it can control the rice hopper complex, and a lack of cross resistance in the neonicotinoid resistant brown planthopper (BPH) and small brown planthopper (SBPH) strains.",,,,,,,
39817336,43765866,2025,Pest management science,The cross-resistance to etofenprox in Nilaparvata lugens with a high adaptability to resistant rice variety IR56.,,"RESULTS: Here in a BPH population (R-IR56) that has adapted to the resistant rice variety IR56 through continuous selection, the moderate resistance to etofenprox was observed.",,,,,,,
39779696,43699573,2025,Nature communications,Nymphal feeding suppresses oviposition-induced indirect plant defense in rice.,,"The BPH colony was originally obtained from rice fields in Hangzhou, China, and subsequently maintained on TN1 (an indica rice variety susceptible to BPH) seedlings in a controlled climate chamber at 26 +- 2  C, 12 h light phase and 80% relative humidity for at least 30 generations prior to use.",,,,,,,
39976729,44289079,2025,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,Exploring resistance mechanisms and identifying QTLs for brown planthopper in tropical and subtropical rice (Oryza sativa L.) germplasm.,,Discovering new germplasms and genes for BPH resistance is essential for enhancing genetic diversity in rice breeding.,,,,,,,
40303855,45080524,2025,Frontiers in plant science,Role of carbohydrate-active enzymes in brown planthopper virulence and adaptability.,,"For example, a recent study showed that BPH can inhibit the acidification of rice cells during feeding by secreting a salivary carbonic anhydrase (NICA), thereby suppressing the plant's defense response.",,,,,,,
40082317,44561049,2025,"Rice (New York, N.Y.)",Revealing Genomic Traits and Evolutionary Insights of Oryza officinalis from Southern China Through Genome Assembly and Transcriptome Analysis.,,"Understanding these genetic mechanisms opens new avenues for developing BPH-resistant rice varieties, leveraging natural genetic diversity to enhance crop resilience and productivity.",,,,,,,
39779696,43699453,2025,Nature communications,Nymphal feeding suppresses oviposition-induced indirect plant defense in rice.,,"Moreover, single rice crops in China regularly experience from one to four overlapping BPH generations, depending on their locations, with more generations in the warmer south and fewer in the colder north.",,,,,,,
40042898,44469963,2025,Proceedings of the National Academy of Sciences of the United States of America,A WRKY transcription factor confers broad-spectrum resistance to biotic stresses and yield stability in rice.,,"To explore the mechanism underlying BPH resistance, we screened a collection of activation-tagged T-DNA insertion rice mutant library consisting of 446 mutant lines carrying insertions in genes encoding transcription factors, and identified a mutant with increased susceptibility to BPH based on seedling mortality measurements.",,,,,,,
39779696,43699480,2025,Nature communications,Nymphal feeding suppresses oviposition-induced indirect plant defense in rice.,,"In addition, in separate elicitation experiments, we varied the number of infesting nymphs (0-20 per plant) and GFs (0-10 per plant) and found that the magnitude of the SA and JA inductions by nymphs and/or GFs were linearly correlated with the number of infesting BPHs, showing a clear dosage-effect in BPH-induced rice defense responses (Supplementary Fig. 2).",,,,,,,
40042898,44470154,2025,Proceedings of the National Academy of Sciences of the United States of America,A WRKY transcription factor confers broad-spectrum resistance to biotic stresses and yield stability in rice.,,Twenty-day-old rice seedlings of Ningjing1 and OsWRKY36-KO were infested with BPH for 12 h. Three biological replicates of each pedigree were collected and flash frozen in liquid nitrogen.,,,,,,,
39853648,43872041,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",An Insect Effector Mimics Its Host Immune Regulator to Undermine Plant Immunity.,,"Similar to that observed for the role of OsGF14e in rice-pathogen interactions, OsGF14e impaired rice resistance against BPH.",,,,,,,
39779696,43699515,2025,Nature communications,Nymphal feeding suppresses oviposition-induced indirect plant defense in rice.,,"To evaluate if the infestation-induced difference in VOCs released was sufficiently robust to influence parasitism rates under field conditions, we released rice plants infested with GF or GFN into a paddy field at the end of September when the rice plants are at the heading stage, and quantified parasitism rates on BPH eggs.",,,,,,,
40082317,44561046,2025,"Rice (New York, N.Y.)",Revealing Genomic Traits and Evolutionary Insights of Oryza officinalis from Southern China Through Genome Assembly and Transcriptome Analysis.,,"Silencing OsMAPK20-5 in irMAPK plants increases accumulation of ethylene and nitric oxide (NO) after infestation by gravid female BPH, thus enhancing rice resistance against BPH adults and oviposition (Li et al.).",,,,,,,
38246245,43636093,2025,Journal of advanced research,Alanine metabolism mediates energy allocation of the brown planthopper to adapt to resistant rice.,,RESULTS: We found that alanine was one of the key biomarkers of BPH adaptation to resistant rice variety IR36.,,,,,,,
39853648,43871899,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",An Insect Effector Mimics Its Host Immune Regulator to Undermine Plant Immunity.,,"Therefore, we investigated the potential role of OsGF14e in rice response to BPH infestation.",,,,,,,
39853648,43871979,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",An Insect Effector Mimics Its Host Immune Regulator to Undermine Plant Immunity.,,"Additionally, to eliminate potential interference from Nl14 protein in the saliva, gravid BPH females with their stylets removed were allowed to lay eggs on rice leaf sheaths.",,,,,,,
39779696,43699540,2025,Nature communications,Nymphal feeding suppresses oviposition-induced indirect plant defense in rice.,,Our study showed that infestation by BPH nymphs decreased both the levels of certain volatiles induced by BPH GFs and the attractiveness of GF-infested rice plants to an egg parasitoid (Fig. 4).,,,,,,,
39853648,43871858,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",An Insect Effector Mimics Its Host Immune Regulator to Undermine Plant Immunity.,,"OsGF14e and OsEDR1l overexpression renders rice susceptible to BPH, whereas their knockout increases plant resistance but compromises rice growth and grain yield.",,,,,,,
40303855,45080595,2025,Frontiers in plant science,Role of carbohydrate-active enzymes in brown planthopper virulence and adaptability.,,"These findings suggest that secreted proteins, particularly those expressed in salivary glands or the intestine and responsive to host plant changes, may play essential roles in rice cell wall degradation by BPH.",,,,,,,
40303855,45080569,2025,Frontiers in plant science,Role of carbohydrate-active enzymes in brown planthopper virulence and adaptability.,,"After TN1-BPH fed on five rice varieties with varying BPH-resistance levels, CAZyme genes exhibited distinct response patterns.",,,,,,,
39853648,43871977,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",An Insect Effector Mimics Its Host Immune Regulator to Undermine Plant Immunity.,,A band of  30 kDa was detected in the total proteins isolated from rice leaf sheaths fed by newly emerged BPH female adults for 24 h (feeding only) but not from non-infested plants (Figure  4A).,,,,,,,
40303855,45080687,2025,Frontiers in plant science,Role of carbohydrate-active enzymes in brown planthopper virulence and adaptability.,,These variety-specific responses underline the versatility of BPH in modulating its enzymatic toolkit to overcome distinct resistance strategies deployed by different rice varieties.,,,,,,,
39779696,43699539,2025,Nature communications,Nymphal feeding suppresses oviposition-induced indirect plant defense in rice.,,Further research should seek to identify specific elicitors in BPH oviposition fluids and elucidate their roles in the defense responses of rice induced by the oviposition of GFs.,,,,,,,
40004225,44376304,2025,International journal of molecular sciences,Transcriptome Analysis and Resistance Identification of bar and BPH9 Co-Transformation Rice.,,The transgenic rice H23 (H23R) co-expressing bar and BPH9 genes demonstrated both glufosinate tolerance and BPH resistance.,,,,,,,
40214427,44899790,2025,Cells,Decoding Plant Ribosomal Proteins: Multitasking Players in Cellular Games.,,"In a rice variety resistant to insect pests, the expression levels of genes encoding eL15 (OsRPL15), OsRPL51 (gene ID: Os03g10930.2), and uS7z (OsRPS5a) in response to the brown planthopper (BPH), as well as the expression levels of eL15 (OsRPL15), el20 (OsRPL18a), uL22 (OsRPL22), eL36 (OsRPL36.2), eL38 (OsRPL38), uS7y (OsRPS5), uS4 (OsRPS9.2), and eS25 (OsRPS25a) in response to gall midge, are significantly higher compared to the susceptible variety, suggesting that these RPs participate in the insect stress response.",,,,,,,
39976729,44289085,2025,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,Exploring resistance mechanisms and identifying QTLs for brown planthopper in tropical and subtropical rice (Oryza sativa L.) germplasm.,,"Furthermore, correlation analysis highlighted a substantial positive relationship between BPH resistance and parameters such as rice trypsin inhibitor (RTI) levels and width of the sclerenchyma layer (WSL).",,,,,,,
40169387,44781066,2025,The New phytologist,The MYC2-JAMYB transcriptional cascade regulates rice resistance to brown planthoppers.,,This study reveals the role of the MYC2-JAMYB module in JA-mediated rice resistance to BPH.,,,,,,,
38246245,43636100,2025,Journal of advanced research,Alanine metabolism mediates energy allocation of the brown planthopper to adapt to resistant rice.,,"CONCLUSION: Overall, our findings demonstrated the crucial role of ALT-mediated alanine metabolism in energy allocation during the adaptation to resistant rice in BPH.",,,,,,,
39853648,43872033,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",An Insect Effector Mimics Its Host Immune Regulator to Undermine Plant Immunity.,,"The expression pattern of OsGF14e was reminiscent of that of the DELLA gene OsSLR1, which also negatively regulates rice defense against BPH.",,,,,,,
40004225,44376302,2025,International journal of molecular sciences,Transcriptome Analysis and Resistance Identification of bar and BPH9 Co-Transformation Rice.,,"In this study, a brown planthopper (BPH) resistance gene (BPH9) and glufosinate tolerance gene (bar) were stacked into a single T-DNA cassette and transformed into an indica rice (Oryza sativa L.) line H23.",,,,,,,
40303855,45080444,2025,Frontiers in plant science,Role of carbohydrate-active enzymes in brown planthopper virulence and adaptability.,,BPH serves as a key vector for viral pathogens such as Rice Grassy Stunt Virus (RGSV) and Rice Ragged Stunt Virus (RRSV).,,,,,,,
40257666,44973149,2025,Advanced biotechnology,Nepenthes chitinase NkChit2b- 1 confers broad-spectrum resistance to chitin-containing pathogens and insects in plants.,,"Intriguingly, NkChit2b-1 pretreatment suppressed feeding activity of brown planthopper (BPH, Nilaparvata lugens) nymphs on rice phloem sap and induced mortality in adult BPH upon ingestion.",,,,,,,
40303855,45080579,2025,Frontiers in plant science,Role of carbohydrate-active enzymes in brown planthopper virulence and adaptability.,,"The expression of genes involved in plant cell wall degradation, such as those in the GH and CBM families, was significantly upregulated in BPH feeding on susceptible rice varieties.",,,,,,,
39853648,43871896,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",An Insect Effector Mimics Its Host Immune Regulator to Undermine Plant Immunity.,,"Given that 14-3-3 proteins play a crucial role in plant-pathogen interactions, we measured the expression patterns of all rice 14-3-3 gene members in response to BPH infestation.",,,,,,,
39779696,43699538,2025,Nature communications,Nymphal feeding suppresses oviposition-induced indirect plant defense in rice.,,"This VgN work highlights the importance of understanding the combined effects of damage levels, elicitors, and effectors on BPH-induced rice defenses.",,,,,,,
40303855,45080616,2025,Frontiers in plant science,Role of carbohydrate-active enzymes in brown planthopper virulence and adaptability.,,"Similar to the way certain pathogen-derived enzymes activate plant immunity, BPH-derived CAZymes may have the potential to trigger a defense response in rice plants.",,,,,,,
40303855,45080425,2025,Frontiers in plant science,Role of carbohydrate-active enzymes in brown planthopper virulence and adaptability.,,"By exploring the function of pest-related genes in the BPH and examining their differential responses in rice varieties with varying resistance to BPH, we aim to contribute to the development of targeted pest management strategies.",,,,,,,
39976729,44289080,2025,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,Exploring resistance mechanisms and identifying QTLs for brown planthopper in tropical and subtropical rice (Oryza sativa L.) germplasm.,,"In this study, 4006 rice accessions from tropical and subtropical regions were screened for BPH resistance at the seedling stage, and 63 accessions with high-resistant were identified.",,,,,,,
39853648,43872067,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",An Insect Effector Mimics Its Host Immune Regulator to Undermine Plant Immunity.,,The secretion of effector Nl14 into rice tissue could compensate for the BPH infestation-induced decrease of OsGF14e in rice and exploit the OsGF14e-EDR1l immune suppression module to promote insect infestation.,,,,,,,
40257666,44973281,2025,Advanced biotechnology,Nepenthes chitinase NkChit2b- 1 confers broad-spectrum resistance to chitin-containing pathogens and insects in plants.,,"Since only adult BPH are capable of long-distance migration, the use of NkChit2b- 1 could further reduce the spread of BPH, safeguarding rice production and food security.",,,,,,,
40303855,45080422,2025,Frontiers in plant science,Role of carbohydrate-active enzymes in brown planthopper virulence and adaptability.,,"Through quantitative real-time PCR (RT-qPCR) and subcellular localization experiments, we found that 5 candidate genes exhibited increased expression during feeding on the susceptible rice variety TN1, a well-characterized variety highly susceptible to BPH and these genes were localized to the plasma membrane.",,,,,,,
39853648,43871904,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",An Insect Effector Mimics Its Host Immune Regulator to Undermine Plant Immunity.,,These results suggest that OsGF14e is an early as well as local and transitory regulator of rice responses to BPH.,,,,,,,
39964588,44255313,2025,"Rice (New York, N.Y.)",Jasmonic Acid (JA) Signaling Pathway in Rice Defense Against Chilo suppressalis Infestation.,,"The recognition and analysis of genes such as Bph14, which confers resistance to pests such as the brown planthopper (BPH), highlights the potential of breeding rice varieties that are resistant to pests as a sustainable and efficient method for pest control (Du et al.).",,,,,,,
39853648,43872106,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",An Insect Effector Mimics Its Host Immune Regulator to Undermine Plant Immunity.,,"Briefly, OsGF14e was fused to the Gal4 BD as a bait plasmid, and the cDNA library from rice fed by BPH was fused to the Gal4 AD as a prey plasmid.",,,,,,,
39779696,43699556,2025,Nature communications,Nymphal feeding suppresses oviposition-induced indirect plant defense in rice.,,"Interestingly, BPH offspring benefits when plants are infested by nymphs because nymphal infestation suppresses the emission of rice volatiles induced by egg laying and thereby decreases the attractiveness of plants to the parasitoid A. nilaparvatae (Fig. 4).",,,,,,,
40042898,44469959,2025,Proceedings of the National Academy of Sciences of the United States of America,A WRKY transcription factor confers broad-spectrum resistance to biotic stresses and yield stability in rice.,,"In this study, we report that knocking out the transcription factor gene OsWRKY36 in rice enhances the resistance to multiple rice planthopper species including BPH, WBPH, and SBPH, as well as to the rice blast fungus Magnaporthe oryzae.",,,,,,,
40042898,44470078,2025,Proceedings of the National Academy of Sciences of the United States of America,A WRKY transcription factor confers broad-spectrum resistance to biotic stresses and yield stability in rice.,,"For example, overexpressing OsPAL8 in rice leads to increased lignin content and enhanced resistance to BPH.",,,,,,,
39817336,43765865,2025,Pest management science,The cross-resistance to etofenprox in Nilaparvata lugens with a high adaptability to resistant rice variety IR56.,,"Insects often employ similar detoxification mechanisms to metabolize plant secondary metabolites and insecticides, which poses a potential risk that BPH population adapted to resistant rice may also obtain resistance to some insecticides.",,,,,,,
39853648,43871983,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",An Insect Effector Mimics Its Host Immune Regulator to Undermine Plant Immunity.,,"Given that protein function is largely determined by the protein sequence, three-dimensional (3D) conformation, and cellular localization, the similarities between rice OsGF14e and BPH candidate effector Nl14 were investigated.",,,,,,,
40082317,44561034,2025,"Rice (New York, N.Y.)",Revealing Genomic Traits and Evolutionary Insights of Oryza officinalis from Southern China Through Genome Assembly and Transcriptome Analysis.,,"Similar findings were reported by Zhang et al., who observed significant enrichment of flavonoid biosynthesis in the GO enrichment analysis of BPH-susceptible and resistant rice varieties.",,,,,,,
40082317,44561065,2025,"Rice (New York, N.Y.)",Revealing Genomic Traits and Evolutionary Insights of Oryza officinalis from Southern China Through Genome Assembly and Transcriptome Analysis.,,"By leveraging the unique genetic resources of O. officinalis, breeders can enhance the resilience of cultivated rice varieties, improving their ability to withstand BPH and ensuring sustainable rice production.",,,,,,,
38246245,39713062,2025,Journal of advanced research,Alanine metabolism mediates energy allocation of the brown planthopper to adapt to resistant rice.,,"This pathway may be conserved, at least to some extent, in BPH adaptation to multiple rice cultivars with different resistance genes.",,,,,,,
39779696,43699481,2025,Nature communications,Nymphal feeding suppresses oviposition-induced indirect plant defense in rice.,,"Phytohormone signaling induces the accumulation of many defense compounds in infested rice plants, like trypsin protease inhibitors (TrypPIs), phenolamides, and VOCs, all of which have been reported to be defense compounds against BPH and to be regulated by JA and ethylene signaling pathways.",,,,,,,
39853648,43871915,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",An Insect Effector Mimics Its Host Immune Regulator to Undermine Plant Immunity.,,An evaluation of resistance to BPH in different OsGF14e transgenic rice lines showed that female adults gained less mass when fed the two gf14e mutant lines and more mass when fed the oeGF14e line compared with those fed the WT plants (Figure 1F).,,,,,,,
40303855,45080577,2025,Frontiers in plant science,Role of carbohydrate-active enzymes in brown planthopper virulence and adaptability.,,"Through the expression profile analysis of BPH, we identified several genes that were differentially expressed when feeding on various rice varieties.",,,,,,,
39853648,43872002,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",An Insect Effector Mimics Its Host Immune Regulator to Undermine Plant Immunity.,,These results suggest that overexpression of OsGF14e in rice can suppress dsNl14-BPH-induced defense signaling.,,,,,,,
39853648,43871968,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",An Insect Effector Mimics Its Host Immune Regulator to Undermine Plant Immunity.,,An evaluation of resistance to BPH in different rice lines showed that BPH female adults laid fewer eggs on the two mutant lines and more eggs laid on the oeEDR1l line than on the WT plants (Figure 3D).,,,,,,,
39779696,43699424,2025,Nature communications,Nymphal feeding suppresses oviposition-induced indirect plant defense in rice.,,"Here we investigated the differences and interaction between feeding- and oviposition-induced plant defenses triggered by the brown planthopper (BPH, Nilaparvata lugens), which gregariously feeds and oviposits on rice.",,,,,,,
40303855,45080587,2025,Frontiers in plant science,Role of carbohydrate-active enzymes in brown planthopper virulence and adaptability.,,"In summary, BPH demonstrates a highly adaptable response to different rice varieties, modulating its gene expression to enhance feeding efficiency and overcome host plant defenses.",,,,,,,
40042898,44470112,2025,Proceedings of the National Academy of Sciences of the United States of America,A WRKY transcription factor confers broad-spectrum resistance to biotic stresses and yield stability in rice.,,"To evaluate the BPH resistance of rice varieties at the mature stage, two seedlings of each variety were planted in a pot and infested with approximately 20 adult female BPHs per plant during the peak tillering stage.",,,,,,,
40042898,44469974,2025,Proceedings of the National Academy of Sciences of the United States of America,A WRKY transcription factor confers broad-spectrum resistance to biotic stresses and yield stability in rice.,,"Together, these results demonstrate that OsWRKY36 negatively regulates BPH resistance in rice. qRT-PCR analysis showed that OsWRKY36 is constitutively expressed in root, stem, leaf blade, leaf sheath, and panicle (SI Appendix, Fig. S4A).",,,,,,,
39779696,43699425,2025,Nature communications,Nymphal feeding suppresses oviposition-induced indirect plant defense in rice.,,"Analyses of host-plant transcriptomes, phytohormones, and direct and indirect defense compounds all show that BPH gravid females (GFs), but not nymphs and non-gravid females (NFs), strongly induce rice defenses.",,,,,,,
39817336,43765872,2025,Pest management science,The cross-resistance to etofenprox in Nilaparvata lugens with a high adaptability to resistant rice variety IR56.,,"CONCLUSION: The study reveals that BPH adapted to resistant rice variety IR56 exhibits a moderate level of resistance to etofenprox, but the cross-resistance to etofenprox in BPH is unidirectional.",,,,,,,
39779696,43699445,2025,Nature communications,Nymphal feeding suppresses oviposition-induced indirect plant defense in rice.,,"Brown planthopper (BPH), Nilaparvata lugens, is the most destructive insect pest on rice (an important staple crop worldwide), usually causing up to 40% rice yield loss if not controlled.",,,,,,,
40082317,44561036,2025,"Rice (New York, N.Y.)",Revealing Genomic Traits and Evolutionary Insights of Oryza officinalis from Southern China Through Genome Assembly and Transcriptome Analysis.,,"Specifically, the gene OsF3H plays a crucial role in the flavonoid biosynthesis pathway and has been shown to positively regulate rice resistance to BPH (Dai et al.).",,,,,,,
40042898,44470008,2025,Proceedings of the National Academy of Sciences of the United States of America,A WRKY transcription factor confers broad-spectrum resistance to biotic stresses and yield stability in rice.,,"Similarly, overexpressing OsPAL6 also significantly enhances the rice resistance against BPH (Fig. 3 G-I).",,,,,,,
39853648,43872051,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",An Insect Effector Mimics Its Host Immune Regulator to Undermine Plant Immunity.,,"For instance, during BPH stylet penetration of rice cell walls, salivary proteins are secreted directly into plant cells.",,,,,,,
40169387,44781062,2025,The New phytologist,The MYC2-JAMYB transcriptional cascade regulates rice resistance to brown planthoppers.,,"Mutations of JAMYB rendered rice plants susceptible to BPH attacks under laboratory and field conditions, indicating that JAMYB positively contributes to BPH resistance.",,,,,,,
40303855,45080678,2025,Frontiers in plant science,Role of carbohydrate-active enzymes in brown planthopper virulence and adaptability.,,"Our results highlight distinct patterns of gene expression in BPH across different resistant rice varieties, including genes that change consistently across multiple varieties and those that vary specifically with individual varieties.",,,,,,,
40303855,45080582,2025,Frontiers in plant science,Role of carbohydrate-active enzymes in brown planthopper virulence and adaptability.,,"Conversely, in resistant rice varieties, BPH exhibited a more regulated expression of these PCWDEs, suggesting that the plant's defenses, including physical barriers and chemical signals, may limit BPH's ability to break down the cell wall.",,,,,,,
40303855,45080588,2025,Frontiers in plant science,Role of carbohydrate-active enzymes in brown planthopper virulence and adaptability.,,"These expression profile changes are critical to its survival and suggest that BPH has evolved specialized mechanisms to feed on a wide variety of rice plants, from resistant to susceptible varieties, by regulating enzyme production and stress response pathways.",,,,,,,
40082317,44561044,2025,"Rice (New York, N.Y.)",Revealing Genomic Traits and Evolutionary Insights of Oryza officinalis from Southern China Through Genome Assembly and Transcriptome Analysis.,,"OsMPK14 expression is upregulated during the feeding by TN1-BPH populations on IR56 rice (Nanda et al. ), suggesting a potential role in MT10 to the BPH resistance.",,,,,,,
39976729,44289087,2025,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,Exploring resistance mechanisms and identifying QTLs for brown planthopper in tropical and subtropical rice (Oryza sativa L.) germplasm.,,"This study significantly enriched the BPH-resistant germplasm sources and genes, highlighting the varied resistance mechanisms of rice against BPH.",,,,,,,
39853648,43871998,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",An Insect Effector Mimics Its Host Immune Regulator to Undermine Plant Immunity.,,"After rice plants were infested with dsNl14-BPH, the JA, JA-Ile, and H2O2 levels were significantly lower in the oeNl14 plants compared with the WT plants (inserts in Figure 6A-C).",,,,,,,
39779696,43699458,2025,Nature communications,Nymphal feeding suppresses oviposition-induced indirect plant defense in rice.,,"We systematically compared several aspects of a rice plant's responses to these different BPH elicitations, including changes in the plants' transcriptomes, phytohormones, and defense compounds, such as phenolamides, proteinase inhibitors, and volatiles.",,,,,,,
39853648,43871909,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",An Insect Effector Mimics Its Host Immune Regulator to Undermine Plant Immunity.,,JA- and hydrogen peroxide (H2O2) -mediated signaling pathways play a central role in enhancing rice resistance to BPH.,,,,,,,
40303855,45080586,2025,Frontiers in plant science,Role of carbohydrate-active enzymes in brown planthopper virulence and adaptability.,,"The increased expression of oxidoreductases in response to feeding on resistant rice varieties may also be a mechanism for detoxifying plant defense compounds, allowing BPH to overcome chemical defenses in the plant.",,,,,,,
39694421,43388196,2025,Insect biochemistry and molecular biology,Expansion of three types of transposon superfamilies within 25 Mya lead to large genome size of a rice insect pest.,,"The brown planthoppers (BPH, Nilaparvata lugens), white backed planthopper (WBPH, Sogatella furcifera) and small brown planthopper (SBPH, Laodelphax striatellus) are widely distributed rice insect pests, causing huge annual yield loss of rice production.",,,,,,,
39853648,43872029,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",An Insect Effector Mimics Its Host Immune Regulator to Undermine Plant Immunity.,,"For instance, when BPH feeds on resistant rice plants carrying Bph14, the salivary effector BISP interacts with Bph14 to trigger resistance.",,,,,,,
40303855,45080581,2025,Frontiers in plant science,Role of carbohydrate-active enzymes in brown planthopper virulence and adaptability.,,"This upregulation of PCWDEs is a key part of BPH's feeding strategy, enabling it to overcome the physical barriers of rice cell walls and gain access to the nutrient-rich phloem sap.",,,,,,,
39853648,43871976,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",An Insect Effector Mimics Its Host Immune Regulator to Undermine Plant Immunity.,,"To determine whether Nl14 is secreted into rice tissues during BPH feeding and oviposition, we performed western blot analysis using an Nl14-specific peptide antibody.",,,,,,,
39846346,43833759,2025,Journal of agricultural and food chemistry,Ethylene-Mediated Production and Emission of Limonene Influence Brown Planthopper Preference for Rice Plants.,,Genetic analysis confirmed the essential role of limonene in the OsEIL1-mediated attractiveness of rice plants to BPH.,,,,,,,
