candidate,scope,mechanism_group,direction,role,classification_boundary,primary_pmids,primary_pmid_count,all_matching_pmids,first_year,latest_year,breeding_readiness,tradeoff_risk,tradeoff,priority,mechanism
OsPep3-OsPEPRs,BPH/WBPH,Peptide immunity,正调控,OsPEPR敲除削弱抗性，外源OsPep3增强抗性。,功能修饰位点；效应量未量化,35068048,1,4,2022,2023,2,1,外源施用与遗传改良的应用路径不同，需评价持续性和成本。,中,内源损伤肽信号激活刺吸式昆虫防御。
OsEXO70H3,BPH,Structural defense,正调控,参与SAMSL分泌和细胞壁木质素沉积，是抗性执行节点。,功能修饰位点；效应量未量化,35119102,1,2,2022,2023,2,1,缺少自然等位变异、田间和产量信息。,中,囊泡运输连接代谢酶外排与细胞壁加固。
OsMYB30-OsPAL6/OsPAL8,BPH,Transcriptional and metabolic defense,正调控,转录因子及PAL通路遗传操作改变BPH抗性。,功能修饰位点；效应量未量化,31848246,1,14,2020,2025,2,1,属于机制明确的修饰/执行模块，但尚不能据此认定为主效育种基因。,中,苯丙烷、SA与木质素积累共同增强结构和化学防御。
OsmiR396-OsGRF8-OsF3H,BPH/WBPH,Transcriptional and metabolic defense,OsF3H正调控,黄酮通路同时获得BPH功能验证和WBPH QTL/过表达支持。,QTL支持的代谢调控基因；效应类别需按群体和虫种分别判断,30734457;32895423;33401742;36499636,4,23,2019,2025,2,1,WBPH研究将F3H与QTL联系，但其效应是否稳定达到主效标准仍需跨群体验证。,高,小RNA-转录因子-黄酮合成轴改变抗虫代谢物。
OsMKK3,BPH,Hormone signaling,正调控,过表达增强BPH抗性。,功能修饰位点；效应量未量化,31226870,1,2,2019,2022,2,1,缺少田间、多背景和长期产量资料。,中,MAPK级联改变JA、JA-Ile和ABA动态。
OsHLH61-OsbHLH96,BPH,Transcriptional and metabolic defense,调控抗性,bHLH模块影响病程相关基因和BPH防御。,功能修饰位点；效应量未量化,30796564,1,1,2019,2019,1,1,功能和育种验证深度低于核心候选。,低,转录因子互作调整防御基因表达。
OsGID1-OsSLR1,BPH,Growth-defense editing,背景与节点依赖,OsGID1过表达和OsSLR1沉默均可增强抗性，显示GA通路存在非线性调控。,功能修饰位点；效应量未量化,30217023;28666057,2,8,2017,2025,2,2,不同干预方向均出现增抗，提示不宜直接外推为简单线性育种靶点。,中,GA-DELLA网络影响木质素、JA、乙烯和H2O2。
OsEXPA10,BPH,Growth-defense editing,负调控抗性,过表达促进生长但增感，敲低增抗但降低株高和粒重。,功能修饰位点；效应量未量化,29619515,1,3,2018,2024,2,3,明确存在株高和粒重代价，直接敲除育种价值有限。,低,细胞壁松弛蛋白直接体现生长-防御权衡。
OsWRKY45/OsWRKY53/OsWRKY70/OsERF3,BPH,Hormone signaling,方向因成员而异,多个转录因子经沉默或过表达验证会改变BPH抗性。,功能修饰位点；效应量未量化,27258255;27031005;26083713;21831212;23228240,5,21,2011,2024,2,2,成员作用方向和对咀嚼式害虫的效应不同，不能作为统一模块直接编辑。,中,围绕H2O2、乙烯、JA及其他昆虫防御形成早期调控网络。
OsHPL3/OsHI-LOX,BPH/WBPH及咀嚼式害虫,Species-specific defense,虫种依赖,同一氧脂素/挥发物节点对BPH、WBPH和咀嚼式害虫可能产生相反效应。,虫种依赖型修饰节点；不能脱离目标虫种讨论效应,22519706;19656341;19891707;38891303,4,12,2009,2024,2,3,具有明显虫谱权衡，不适合作为单一方向的广谱抗虫靶点。,低,JA分支与绿叶挥发物分支的资源分配改变不同昆虫的取食和天敌招募。
OsCM,WBPH,Transcriptional and metabolic defense,正调控,过表达提高SA、木质素和抗氧化物，并增强WBPH响应。,WBPH功能修饰基因；是否属于QTL因研究定义而异,34829551;33401742,2,3,2021,2021,2,1,证据主要来自特定遗传材料，需独立重复和田间验证。,中,莽草酸/SA相关代谢连接木质素和抗氧化防御。
OsNPR1,WBPH/BPH,Species-specific defense,对WBPH可能负调控,病害抗性增强可能伴随WBPH抗性下降，体现跨胁迫权衡。,权衡信号节点；目前不宜视为可直接利用的微效抗性位点,40042898;34943188,2,8,2017,2025,1,3,直接WBPH遗传验证有限，且跨病虫权衡突出。,低,SA-JA拮抗改变不同病虫害的防御配置。
